Input First                 Input Second                MergeTime[s]                SuccesiveAddTime[s]         
asyoulikeit.txt             richardiii.txt              0.00092                     0.00252                     
asyoulikeit.txt             timon.txt                   0.00082                     0.00206                     
asyoulikeit.txt             lll.txt                     0.00089                     0.00245                     
asyoulikeit.txt             comedy_errors.txt           0.00073                     0.00165                     
asyoulikeit.txt             richardii.txt               0.00087                     0.00264                     
asyoulikeit.txt             julius_caesar.txt           0.00081                     0.00191                     
asyoulikeit.txt             allswell.txt                0.00084                     0.00220                     
asyoulikeit.txt             winters_tale.txt            0.00094                     0.00239                     
asyoulikeit.txt             1henryvi.txt                0.00086                     0.00242                     
asyoulikeit.txt             tempest.txt                 0.00059                     0.00178                     
asyoulikeit.txt             cymbeline.txt               0.00078                     0.00241                     
asyoulikeit.txt             othello.txt                 0.00071                     0.00214                     
asyoulikeit.txt             titus.txt                   0.00056                     0.00167                     
asyoulikeit.txt             much_ado.txt                0.00052                     0.00151                     
asyoulikeit.txt             1henryiv.txt                0.00064                     0.00212                     
asyoulikeit.txt             merchant.txt                0.00063                     0.00185                     
asyoulikeit.txt             macbeth.txt                 0.00060                     0.00192                     
asyoulikeit.txt             john.txt                    0.00065                     0.00204                     
asyoulikeit.txt             2henryvi.txt                0.00061                     0.00234                     
asyoulikeit.txt             2henryiv.txt                0.00076                     0.00235                     
asyoulikeit.txt             henryv.txt                  0.00071                     0.00272                     
asyoulikeit.txt             merry_wives.txt             0.00053                     0.00161                     
asyoulikeit.txt             midsummer.txt               0.00053                     0.00146                     
troilus_cressida.txt        3henryvi.txt                0.00082                     0.00217                     
troilus_cressida.txt        twelfth_night.txt           0.00093                     0.00251                     
troilus_cressida.txt        romeo_juliet.txt            0.00082                     0.00225                     
troilus_cressida.txt        lear.txt                    0.00084                     0.00301                     
troilus_cressida.txt        hamlet.txt                  0.00113                     0.00333                     
troilus_cressida.txt        measure.txt                 0.00089                     0.00258                     
troilus_cressida.txt        asyoulikeit.txt             0.00094                     0.00254                     
troilus_cressida.txt        taming_shrew.txt            0.00085                     0.00238                     
troilus_cressida.txt        coriolanus.txt              0.00093                     0.00296                     
troilus_cressida.txt        henryviii.txt               0.00100                     0.00269                     
troilus_cressida.txt        two_gentlemen.txt           0.00088                     0.00215                     
troilus_cressida.txt        cleopatra.txt               0.00107                     0.00284                     
troilus_cressida.txt        pericles.txt                0.00091                     0.00247                     
troilus_cressida.txt        richardiii.txt              0.00078                     0.00259                     
troilus_cressida.txt        timon.txt                   0.00071                     0.00178                     
troilus_cressida.txt        lll.txt                     0.00058                     0.00172                     
troilus_cressida.txt        comedy_errors.txt           0.00051                     0.00120                     
troilus_cressida.txt        richardii.txt               0.00063                     0.00176                     
troilus_cressida.txt        julius_caesar.txt           0.00056                     0.00134                     
troilus_cressida.txt        allswell.txt                0.00063                     0.00169                     
troilus_cressida.txt        winters_tale.txt            0.00070                     0.00192                     
troilus_cressida.txt        1henryvi.txt                0.00067                     0.00193                     
troilus_cressida.txt        tempest.txt                 0.00058                     0.00155                     
troilus_cressida.txt        cymbeline.txt               0.00072                     0.00215                     
troilus_cressida.txt        othello.txt                 0.00066                     0.00216                     
troilus_cressida.txt        titus.txt                   0.00061                     0.00185                     
troilus_cressida.txt        much_ado.txt                0.00056                     0.00154                     
troilus_cressida.txt        1henryiv.txt                0.00071                     0.00223                     
troilus_cressida.txt        merchant.txt                0.00065                     0.00178                     
troilus_cressida.txt        macbeth.txt                 0.00063                     0.00164                     
troilus_cressida.txt        john.txt                    0.00065                     0.00171                     
troilus_cressida.txt        2henryvi.txt                0.00068                     0.00200                     
troilus_cressida.txt        2henryiv.txt                0.00068                     0.00203                     
troilus_cressida.txt        henryv.txt                  0.00077                     0.00237                     
troilus_cressida.txt        merry_wives.txt             0.00064                     0.00163                     
troilus_cressida.txt        midsummer.txt               0.00058                     0.00150                     
taming_shrew.txt            3henryvi.txt                0.00063                     0.00179                     
taming_shrew.txt            twelfth_night.txt           0.00073                     0.00212                     
taming_shrew.txt            romeo_juliet.txt            0.00067                     0.00194                     
taming_shrew.txt            lear.txt                    0.00070                     0.00225                     
taming_shrew.txt            hamlet.txt                  0.00076                     0.00284                     
taming_shrew.txt            measure.txt                 0.00069                     0.00202                     
taming_shrew.txt            asyoulikeit.txt             0.00075                     0.00190                     
taming_shrew.txt            troilus_cressida.txt        0.00071                     0.00256                     
taming_shrew.txt            coriolanus.txt              0.00058                     0.00210                     
taming_shrew.txt            henryviii.txt               0.00053                     0.00175                     
taming_shrew.txt            two_gentlemen.txt           0.00044                     0.00126                     
taming_shrew.txt            cleopatra.txt               0.00056                     0.00186                     
taming_shrew.txt            pericles.txt                0.00050                     0.00150                     
taming_shrew.txt            richardiii.txt              0.00057                     0.00193                     
